招聘岗位,企业名称,工作城市,工作区域,最低月薪_元,最高月薪_元,中位月薪_元,经验段,经验年限下限,经验年限上限,学历层级,AI标签列表,主要AI方向,岗位摘要,核心技能列表,招聘发布日期,发布月份
数据分析师,宁波凯越国际贸易有限公司,泉州,nan,12500,20833,16666.5,1-3年,1,3,本科,数据挖掘,数据挖掘,负责数据分析、挖掘及优化建议,SQL、HIVE、Excel、数据挖掘、数据分析、数据建模、数据展示,2024-07-28 ,2024-07
全屋定制业务员,佛山市斑马金属制品有限公司,佛山,禅城区,5000,10000,7500.0,1-3年,1,3,大专,大数据平台,大数据处理,负责全屋定制业务推广与销售,销售技巧、客户关系管理、产品演示、销售策略、大数据平台、抗压能力、团队合作,2024-10-22 ,2024-10
储备管理岗,安徽宏业塑业有限公司,合肥,包河区,4500,5500,5000.0,无经验要求,,,大专,智慧金融,人工智能,智能点单及包厢清洁整理工作,智能点单、餐具整理、清洁管理、沟通能力、服务意识,2024-08-04 ,2024-08
销售,安徽莹网技术有限公司,连云港,nan,8000,16000,12000.0,3-5年,3,4,中专及以下,云计算,人工智能,销售综合布线及IT相关产品,综合布线、客户资源管理、沟通表达能力、销售技巧、产品技术理解,2024-07-05 ,2024-07
销售,安徽莹网技术有限公司,烟台,nan,7000,14000,10500.0,3-5年,3,4,中专及以下,云计算,云计算,负责综合布线及云计算相关产品销售,综合布线、客户资源管理、沟通能力、产品技术理解、销售技巧,2024-07-05 ,2024-07
新媒体运营,浙江娅茜品牌管理有限公司,杭州,萧山区,6000,12000,9000.0,1-3年,2,,大专,数据挖掘,数据挖掘,负责新媒体平台运营及内容创作与数据分析,内容策划、数据分析、视频剪辑、热点分析、跨部门协作、Office办公软件,2024-09-09 ,2024-09
IT经理,上海翊航博企业管理咨询有限公司,苏州,太仓市,19000,20000,19500.0,5-10年,3,5,本科,大数据平台,大数据平台,负责企业IT规划及大数据平台建设与管理,ERP开发、项目管理、团队管理、PMP认证、ITIL认证、大数据平台,2024-10-15 ,2024-10
系统运维工程师,云南建投第一勘察设计有限公司,昆明,五华区,6000,9000,7500.0,实习/应届,,,本科,人工智能,人工智能,负责系统运维及会议系统管理,编程语言开发、网络设备管理、ERP/OA系统运维、系统搭建、沟通协调能力、抗压能力,2024-02-18 ,2024-02
光伏自动化设备方案设计经理,拉普拉斯新能源科技股份有限公司,无锡,nan,18000,30000,24000.0,5-10年,5,10,本科,深度学习,深度学习,光伏自动化设备解决方案设计与技术体系建设,机械设计、电气设计、深度学习、空间分析、逻辑思维、团队协作,2024-07-09 ,2024-07
Linux运维开发工程师,深圳开立生物医疗科技股份有限公司,深圳,光明区,15000,20000,17500.0,3-5年,3,,本科,云计算,云计算,负责Linux服务器管理及运维自动化工作,Linux、Zabbix、Docker、Python、Shell、Jenkins、GitLab Runner、MySQL,2024-10-18 ,2024-10
AI推理场景应用产品经理,深圳创新科技术有限公司,深圳,南山区,15000,30000,22500.0,3-5年,3,5,本科,人工智能,人工智能,负责AI推理场景产品设计与优化,国产GPU、AI推理、TensorFlow、PyTorch、Paddle、产品需求文档、竞品分析、硬件开发,2024-03-29 ,2024-03
弱电方案设计师,深圳市汇恒通科技有限公司,深圳,南山区,6000,12000,9000.0,1-3年,1,,大专,智能家居,人工智能,负责智能化弱电系统方案设计与图纸深化,CAD设计、技术方案编写、标书制作、技术交流、工程预算,2024-10-27 ,2024-10
运动控制算法高级工程师,联宝（合肥）电子科技有限公司,合肥,蜀山区,20000,30000,25000.0,5-10年,5,10,硕士,神经网络,神经网络,负责运动控制算法设计、优化及系统集成,运动控制算法、路径规划、轨迹跟踪、ROS、SLAM、神经网络、传感器处理、系统集成,2024-10-11 ,2024-10
高级工程经理,德丰电创科技股份有限公司,东莞,洪梅镇,30000,45000,37500.0,10年以上,10,,本科,人机交互,人工智能,负责电子/SW技术团队管理及产品研发工作,电子电路设计、嵌入式系统、软件开发、测试设备使用、项目管理、团队管理、人机交互界面设计,2024-07-16 ,2024-07
UI设计,天合富家能源股份有限公司,常州,新北区,15000,25000,20000.0,5-10年,5,,本科,人机交互,人机交互,负责交互设计、团队管理及UI项目主导,交互设计、UI设计规范、用户研究、项目管理、Sketch、Figma、Axure,2024-07-31 ,2024-07
算法专家（NLP）,北京鸿盈信息技术有限公司,北京,朝阳区,30000,60000,45000.0,3-5年,3,5,硕士,机器学习、深度学习、自然语言处理、强化学习、机器翻译,自然语言处理,负责大模型训练优化及业务场景适配,机器学习、深度学习、自然语言处理、transformer、pytorch、Python,2024-03-27 ,2024-03
AI产品总监,成都易我科技开发有限责任公司,成都,高新区,50000,70000,60000.0,5-10年,5,10,本科,AI产品、知识图谱、深度学习,深度学习,负责AI产品规划与商业化落地,AI产品规划、知识图谱应用、深度学习技术、敏捷开发、商业产品策略、技术趋势分析,2024-03-29 ,2024-03
客服质检,上海集度汽车有限公司,武汉,洪山区,9000,14000,11500.0,1-3年,1,3,本科,智能客服、智能语音,人工智能,负责客服质量监控与改进，数据分析及跨团队协作,智能语音、智能质检、数据分析、项目管理、跨团队协作、质量监控、业务分析,2024-03-28 ,2024-03
NLP实习生,抖音视界（北京）有限公司,北京,海淀区,1000,1000,1000.0,实习/应届,,,本科,机器学习,机器学习,开发优化NLP算法，应用LLM技术于智能问答与内容创作,Python、C++、TensorFlow、PyTorch、Linux、分布式训练、GPT、BERT,2024-03-28 ,2024-03
资深数据开发工程师,抖音视界（北京）有限公司,杭州,西湖区,35000,55000,45000.0,无经验要求,,,本科,大数据平台,大数据平台,数据体系开发及大数据平台搭建,SQL、数据仓库、Hive、Hadoop生态、数据建模、数据清洗、数据指标分析,2024-03-28 ,2024-03
客户策略运营,抖音视界（北京）有限公司,广州,海珠区,15000,25000,20000.0,3-5年,3,5,本科,数据挖掘,数据挖掘,负责客户策略规划与数据分析，提升行业广告收入,策略规划、数据分析、数据挖掘、项目统筹、Excel、PPT制作、跨部门协作、广告投放策略,2024-03-29 ,2024-03
资深后端研发工程师-电商即时配送方向,抖音视界（北京）有限公司,杭州,余杭区,35000,45000,40000.0,无经验要求,,,本科,大数据处理,大数据处理,负责电商配送系统设计与技术优化,Java、Linux、MySQL、Redis、分布式架构、设计模式、大数据处理,2024-04-22 ,2024-04
产能信息处副处长,重庆航天火箭电子技术有限公司,重庆,九龙坡区,10000,14000,12000.0,10年以上,10,,硕士,人工智能、云计算,人工智能,负责智能制造及工业自动化项目规划与实施,工业4.0、物联网(IOT)、大数据、云计算、人工智能、智能制造系统规划、信息化系统优化,2024-08-14 ,2024-08
AI软件工程师,索恩格汽车部件（中国）有限公司,长沙,nan,15000,20000,17500.0,5-10年,5,7,本科,机器学习、神经网络、深度学习,深度学习,负责AI软件架构设计与开发，应用机器学习及深度学习技术,Python、C++、TensorFlow、PyTorch、OpenCV、机器学习、深度学习、数据处理,2024-11-11 ,2024-11
操作工,格力电器（赣州）有限公司,赣州,南康区,5200,6500,5850.0,无经验要求,,,不限,智能家居,智能家居,一线生产操作岗位，负责装配与质检工作,服从安排、适应加班、技能证书、装配技能、设备操作、质量检测,2024-10-14 ,2024-10
无人机飞手,江苏新杰智科技有限责任公司,苏州,苏州工业园区,4000,5000,4500.0,无经验要求,,,大专,无人驾驶,无人驾驶,无人机操作及数据处理,无人机操作、设备维护、激光雷达数据预处理、点云生成、实景建模、CAAC无人机驾驶证、电力巡检、电网航测,2024-10-14 ,2024-10
工装软件工程师,宁波福尔达智能科技股份有限公司,宁波,慈溪市,10000,15000,12500.0,5-10年,5,,大专,人机交互,人工智能,工装软件开发与维护调试,上位机软件开发、PLC编程（台达/三菱/信捷）、人机交互设计、LIN通讯、软件调试维护,2024-07-26 ,2024-07
机器视觉工程师,西安荷佐里机电科技有限公司,咸阳,nan,5000,7500,6250.0,无经验要求,,,本科,深度学习,深度学习,负责机器视觉项目算法开发与测试,Python、C++、TensorFlow、PyTorch、图像处理、SIFT/HOG/YOLO,2024-07-03 ,2024-07
大数据运维工程师,上海威士顿信息技术股份有限公司,合肥,包河区,12000,18000,15000.0,3-5年,3,5,本科,大数据平台,大数据平台,负责华为MRS集群运维及大数据平台优化,华为MRS运维、Linux系统管理、Shell脚本编程、Hadoop生态技术、大数据平台优化、网络故障排查、系统性能监控、数据备份恢复,2024-08-27 ,2024-08
数据开发工程师,上海理想信息产业（集团）有限公司,北京,,12000,20000,16000.0,3-5年,3,,本科,大数据平台,大数据平台,负责数据接入、ETL设计及大数据平台管理,ETL设计、大数据平台、数据治理、Java、Python、SQL,2024-10-01 ,2024-10
招生老师,四川西南航空职业学院,漳州,nan,12500,25000,18750.0,1-3年,1,,大专,无人驾驶,无人驾驶,负责招生宣传、学生沟通及市场开拓,沟通能力、团队合作、市场开拓、客户服务、销售技巧、培训管理,2024-06-19 ,2024-06
产品设计专员,广东聚德五金制品有限公司,清远,清新区,8000,15000,11500.0,3-5年,3,,本科,智能家居,智能家居,负责产品设计、制图及工艺审核,AUTO CAD、Proe、UG、机械加工工艺、CAD制图、工艺审核,2024-07-12 ,2024-07
BEOL Litho PE工程师,锐立平芯微电子（广州）有限责任公司,武汉,洪山区,25000,35000,30000.0,5-10年,5,,硕士,ai产品,人工智能,负责光刻工艺优化及技术方案开发,光刻工艺维护、曝光机操作、CD SEM操作、技术方案开发、团队协作,2024-11-13 ,2024-11
数据采集工程师,重庆巴别软件开发有限公司,重庆,nan,8000,11000,9500.0,1-3年,1,3,本科,数据挖掘,数据挖掘,负责数据采集、处理及分析挖掘工作,Python、SQL、Hadoop、数据挖掘、数据安全,2024-11-26 ,2024-11
机器学习/风控算法,上海复深蓝软件股份有限公司,深圳,福田区,18000,24000,21000.0,5-10年,5,10,大专,机器学习、自然语言处理、深度学习,机器学习,风控算法设计与模型优化，机器学习应用,Python、SQL、机器学习算法、特征工程、随机森林、GBDT、Linux、ETL处理流程,2024-03-12 ,2024-03
嵌入式软件工程师,广东南控电力有限公司,深圳,南山区,12000,20000,16000.0,3-5年,3,5,本科,边缘计算,边缘计算,负责嵌入式软件开发及数据采集器调试,嵌入式Linux、Openwrt、FreeRTOS、ESP32、STM32、CAN、Modbus,2024-04-22 ,2024-04
信号处理算法工程师,深圳市美德医疗电子技术有限公司,深圳,南山区,20000,25000,22500.0,1-3年,1,3,硕士,神经网络、特征提取,神经网络,负责信号处理算法设计与优化,信号处理、MATLAB、C/C++、神经网络、小波分析、傅立叶变换、算法设计、数据分析,2024-03-25 ,2024-03
AI算法工程师,广州酷狗计算机科技有限公司,广州,天河区,20000,35000,27500.0,3-5年,3,5,硕士,深度学习,深度学习,负责AI算法开发及前沿技术探索,PyTorch、TensorFlow、Transformer模型、Bert模型、LLM调优、Diffusion训练、团队协作、沟通能力,2024-03-28 ,2024-03
生产主管,广东汇智电子技术有限公司,肇庆,端州区,6000,10000,8000.0,1-3年,1,3,大专,智能家居,人工智能,负责生产计划、品质管理及现场6S协调工作,生产计划管理、工艺流程优化、6S现场管理、设备维护、团队培训,2024-07-06 ,2024-07
供应链信息化工程师,广州艾捷斯医疗器械有限公司,广州,番禺区,10000,15000,12500.0,1-3年,2,,本科,大数据分析,大数据分析,供应链数据分析与模型开发优化,数据分析、数据建模、大数据挖掘、预测模型、库存控制、供应链优化,2024-12-07 ,2024-12
高级硬件工程师,深圳市美安科技有限公司,深圳,龙岗区,25000,35000,30000.0,3-5年,3,4,本科,智能家居,人工智能,负责智能家居硬件开发与调试,智能家居开发、PCB设计、数字电路、嵌入式系统、无线传输技术、产品开发流程、英文资料阅读,2024-10-09 ,2024-10
赵县弱电技术,石家庄晟昊电子工程有限公司,石家庄,赵县,3000,8000,5500.0,1-3年,1,3,中专及以下,智能家居,智能家居,智能家居与安防系统设计、安装及维护,安防设计、智能家居安装、项目施工、客户营销、公众号运营,2024-01-01 ,2024-01
Java后端开发工程师,上海煜麦网络科技有限公司,南京,栖霞区,10000,14000,12000.0,5-10年,5,,本科,大数据处理,大数据处理,负责后端服务及实时数据开发，支持业务需求,分布式系统、微服务架构、Flink、SparkStreaming、Doris、Nacos、Kafka、Redis,2024-09-10 ,2024-09
下一代视联网服务产品经理,中国移动通信有限公司研究院,北京,西城区,15000,30000,22500.0,5-10年,5,,硕士,云计算,云计算,规划视联网产品体系及研发路标，推动业务发展,云计算服务、ToB/ToG产品设计、结构化思维、跨团队协作、市场洞察、产品全生命周期管理、AI技术应用,2024-11-14 ,2024-11
网络产品开发工程师,中国移动通信有限公司研究院,北京,西城区,15000,30000,22500.0,3-5年,3,4,本科,人工智能,人工智能,负责网络产品开发及架构设计与技术实现,JAVA、Python、Spring框架、MySQL、Linux、网络协议、数据分析、人工智能,2024-07-27 ,2024-07
AI算法工程师（语音）,中国移动通信有限公司研究院,北京,nan,15000,30000,22500.0,1-3年,1,,硕士,机器学习、深度学习、语音识别、数据挖掘、智能语音、语音合成、人工智能、声纹识别、深度神经网络、神经网络,人工智能,负责语音识别、合成及增强算法研究与优化,语音信号处理、深度学习、TensorFlow、Python、C++、语音识别、语音合成、声纹识别,2024-07-26 ,2024-07
数据管理员,浙江佐力药业股份有限公司,湖州,德清县,4000,6000,5000.0,1-3年,1,,大专,数据挖掘,数据挖掘,负责数据挖掘、分析及数据库维护工作,Excel、VBA、Python、MySQL、SQL、数据可视化、自动化报表,2024-07-05 ,2024-07
高级运维工程师,神州数码（深圳）有限公司,深圳,南山区,20000,30000,25000.0,5-10年,5,10,本科,云计算,云计算,负责云安全架构设计及项目管理,云安全架构设计、网络安全、数据安全、应急预案、数据分级分类、跨团队协作,2024-03-24 ,2024-03
大数据工程师,上海农村商业银行股份有限公司,上海,浦东新区,20000,30000,25000.0,3-5年,3,5,本科,机器学习、数据挖掘,机器学习,负责大数据平台设计与数据挖掘模型开发,Java、C/C++、SAS、R、Python、机器学习算法、模型调优、数据挖掘,2024-03-29 ,2024-03
组装开发工程师,惠州市盈旺精密技术股份有限公司,惠州,博罗县,9000,13000,11000.0,3-5年,3,4,大专,智能家居,人工智能,负责智能家居产品组装工艺及生产效率优化,CAD/ProE绘图软件、Office办公软件、数据统计分析、工艺优化、治具开发、自动化导入、精益IE,2024-11-30 ,2024-11
java高级架构师,兆泰源（安阳）信息技术有限公司,安阳,nan,8000,10000,9000.0,5-10年,5,,本科,大数据处理,大数据处理,负责Java架构设计与团队管理,Java开发、Spring Boot、Spring Cloud、MyBatis、SVN、Maven、Linux系统、Tomcat,2024-06-29 ,2024-06
Scrum Master（java+数据分析）,深圳四方精创资讯股份有限公司,深圳,南山区,15000,18000,16500.0,3-5年,3,5,本科,数据挖掘,数据挖掘,负责系统重构、自动化任务及用户培训,IT SDLC、软件开发、PowerShell、Python、Excel数据分析、数据挖掘,2024-02-01 ,2024-02
算法工程师,一诺未来技术（深圳）有限公司,西安,雁塔区,18000,29000,23500.0,5-10年,5,,本科,卷积神经网络,人工智能,仪器仪表算法开发与优化,C语言、Matlab、Python、信号处理算法、卷积神经网络、FFT,2024-07-17 ,2024-07
自动驾驶设备管理岗,东莞市轨道交通有限公司,东莞,nan,13333,15000,14166.5,5-10年,5,,本科,自动驾驶,自动驾驶,轨道交通设备技术管理及自动驾驶系统维护,技术管理体系建立、设备设施技术管理、故障分析、安全评估、项目监督、现场指导,2024-09-09 ,2024-09
无人机研发博士后,杭州市滨江区浙工大人工智能创新研究院,杭州,nan,20833,41666,31249.5,无经验要求,,,博士,神经网络,人工智能,负责无人机路径规划与避障算法开发及系统集成,路径规划算法、神经网络、C/C++编程、Linux、ROS开发,2024-09-26 ,2024-09
数据开发工程师,龙江环保集团股份有限公司,哈尔滨,道外区,7000,9000,8000.0,1-3年,2,,本科,大数据平台,大数据平台,负责大数据平台建设与数据处理分析,Oracle、MySQL、Hadoop、Flink、Kafka、Hive、Spark、ETL,2024-07-19 ,2024-07
博士后专家,广州赛意信息科技股份有限公司,佛山,顺德区,30000,50000,40000.0,无经验要求,,,博士,边缘计算,边缘计算,从事工业智能与边缘计算研究工作,工业智能、数据分析、数字孪生、区块链、边缘计算、大数据处理,2024-11-01 ,2024-11
软件开发工程师,中国电信股份有限公司河南分公司,开封,nan,8000,16000,12000.0,实习/应届,,,本科,人工智能,人工智能,负责软件开发、测试及性能优化工作,软件开发、测试、性能优化、安全加固、知识产权保护,2024-08-20 ,2024-08
解决方案经理,中国电信股份有限公司河南分公司,平顶山,nan,8000,16000,12000.0,实习/应届,,,本科,人工智能,人工智能,负责解决方案编制与招投标管理,需求分析、解决方案编制、招投标管理、项目交付、方案优化,2024-08-20 ,2024-08
财务专员,深圳三侠网络技术集团有限公司,深圳,福田区,6000,8000,7000.0,1-3年,1,,大专,数据挖掘,数据挖掘,负责财务记录、报税及数据分析工作,财务报表编制、数据分析、金蝶、用友、财务分析、团队合作,2024-07-16 ,2024-07
亚马逊运营专员,深圳众盼科技有限公司,深圳,南山区,14000,20000,17000.0,5-10年,4,,本科,数据挖掘,数据挖掘,负责亚马逊平台运营及数据分析,亚马逊平台运营、数据分析、营销策略、广告投放、订单管理、数据挖掘,2024-08-30 ,2024-08
高级多媒体软件工程师,翱捷科技股份有限公司,成都,nan,20000,40000,30000.0,5-10年,5,,本科,智能芯片,人工智能,负责Android/Linux平台多媒体软件开发与优化,C/C++、Android/Linux平台开发、V4L2/DRM/ALSA/OpenMAX/Codec2、Camera HAL/HWC HAL、ARM/Audio DSP架构,2024-08-21 ,2024-08
图像语音算法工程师,天津津昌人力资源服务有限公司,北京,朝阳区,20000,40000,30000.0,3-5年,3,5,本科,深度学习、深度神经网络,深度学习,应用AI技术优化教育领域用户体验和运营效率,Java、C++、Python、Tensorflow、Pytorch、深度学习算法、分布式算法开发,2024-01-18 ,2024-01
FPGA程序评测资深工程师,北京自动测试技术研究所有限公司,北京,海淀区,15000,20000,17500.0,1-3年,1,3,本科,人工智能,人工智能,负责FPGA程序评测团队建设与技术规划,FPGA开发、Verilog/VHDL、Vivado、Quartus、功能测试、性能分析、资源优化、自动化测试工具,2024-11-23 ,2024-11
数据挖掘工程师,重庆广睿达科技有限公司,重庆,渝北区,8000,15000,11500.0,1-3年,1,,硕士,机器学习、深度学习、分布式计算、数据挖掘、大数据平台、自然语言处理,数据挖掘,负责数据挖掘模型开发与大数据平台算法实现,机器学习、数据挖掘、Hadoop、Python、SQL、算法开发,2024-09-18 ,2024-09
AI工具产品经理,百度在线网络技术（北京）有限公司,北京,海淀区,30000,55000,42500.0,1-3年,1,3,本科,AI产品、人工智能,人工智能,研究AI视频剪辑工具，提升智能化与自动化,AI应用场景研究、用户需求分析、数据分析、产品规划、跨部门协作、短视频创作,2024-03-29 ,2024-03
创作者运营（权益策略中台）,百度在线网络技术（北京）有限公司,北京,海淀区,35000,55000,45000.0,3-5年,3,5,本科,数据挖掘,数据挖掘,负责创作者权益运营及策略优化,数据挖掘、业务数据分析、逻辑思维、沟通协调、抗压能力,2024-03-29 ,2024-03
LLM大模型算法工程师,百度在线网络技术（北京）有限公司,北京,海淀区,20000,40000,30000.0,1-3年,1,3,本科,机器学习、深度学习,深度学习,负责大模型开发与优化及技术落地,深度学习框架、Python、算法与数据结构、LLM技术、分布式训练,2024-03-28 ,2024-03
大数据开发工程师,深圳方正微电子有限公司,深圳,龙岗区,14000,20000,17000.0,无经验要求,,,硕士,数据挖掘,数据挖掘,负责大数据开发及数据分析模型设计,SQL、Python、Java、Oracle、SQL Server、NoSQL、Flink、Spark、Hadoop、ETL工具,2024-10-02 ,2024-10
招商经理,有米科技股份有限公司,重庆,,22000,36000,29000.0,5-10年,5,7,大专,人工智能、大数据平台,人工智能,负责渠道招商及资源拓展,渠道招商、市场分析、商业洞察、沟通谈判、合作伙伴关系、SaaS行业经验、区域渠道资源,2024-07-10 ,2024-07
AI区域销售代表,上海联影智能医疗科技有限公司,长春,,6000,10000,8000.0,5-10年,1,8,大专,AI产品,人工智能,负责医学AI产品销售及市场推广,医学影像分析、售前技术支持、客户需求挖掘、产品策略制定、招投标管理、客户关系维护,2024-10-16 ,2024-10
FPGA软件工程师,苏州镭智传感科技有限公司,苏州,虎丘区,15000,30000,22500.0,3-5年,3,5,本科,人工智能,人工智能,FPGA设计与数据处理及测试验证,Verilog HDL代码编写、MATLAB、C语言编程、高速ADC/DAC配置、千兆以太网协议、FPGA开发环境、数据采集分析,2024-03-21 ,2024-03
Java架构师,广东中科云量信息安全技术有限公司,广州,天河区,15000,25000,20000.0,5-10年,5,10,本科,大数据平台,大数据处理,负责海事及打私软件研发与架构设计,Java开发、SpringBoot、SpringCloud、分布式架构、数据库设计、大数据处理、GIS技术,2024-03-11 ,2024-03
外贸业务员,江苏利生化工有限公司,淮安,清江浦区,5000,10000,7500.0,无经验要求,,,大专,大数据分析,大数据分析,分析客户数据，拓展外贸业务,大数据分析、外贸业务术语、英语听说读写、电子商务拓展、贸易风险控制,2024-08-22 ,2024-08
电商运营,郑州诚昇餐具用品有限公司,郑州,金水区,3000,6000,4500.0,1-3年,1,,大专,数据挖掘,数据挖掘,负责电商平台运营及数据挖掘分析,电商平台运营、数据挖掘分析、客户服务、直通车优化、活动策划,2024-08-28 ,2024-08
系统维护,中国移动通信有限公司在线营销服务中心,西宁,nan,6000,12000,9000.0,1-3年,2,,本科,人工智能,人工智能,负责系统维护及数智化工具开发与维护,JAVA、Python、自动化脚本、tcp/ip协议、流程自动化,2024-09-09 ,2024-09
设计经理,厦门幕岚达科技有限公司,厦门,湖里区,15000,20000,17500.0,3-5年,3,5,本科,人机交互,人工智能,负责产品设计、UI规范及团队管理,视觉设计、人机交互、Photoshop、Sketch、UI设计、团队协作,2024-04-03 ,2024-04
自动驾驶系统安全工程师,北京三快在线科技有限公司,深圳,龙华区,25000,50000,37500.0,5-10年,5,10,本科,自动驾驶,无人驾驶,负责自动驾驶系统安全设计与分析,HARA、FSR、FMEA、FTA、DFA、ISO26262、ASPICE、自动驾驶场景库搭建,2024-03-27 ,2024-03
直播推荐高级算法工程师,北京三快在线科技有限公司,北京,朝阳区,30000,50000,40000.0,1-3年,1,3,本科,语音交互,人工智能,负责直播推荐算法迭代与优化,推荐算法、用户行为建模、多目标优化、序列生成、算法迭代,2024-03-28 ,2024-03
全栈开发工程师,深圳市交通工程试验检测中心有限公司,深圳,福田区,15000,25000,20000.0,3-5年,3,5,本科,人工智能,人工智能,负责检测监测产品开发与数据分析优化,Python、MySQL、PostgreSQL、HTML/CSS/JavaScript、数据分析、人工智能,2024-11-11 ,2024-11
CNC学徒,浙江甬源科技有限公司,宁波,余姚市,4000,5500,4750.0,无经验要求,,,不限,人工智能,人工智能,学习CNC操作与编程，具备责任感,CNC操作、编程、责任感,2024-08-22 ,2024-08
高级品质经理,深圳唐果屋智能科技有限公司,深圳,宝安区,14000,20000,17000.0,5-10年,5,,大专,智能家居,智能家居,负责智能家居产品全生命周期质量管理,质量工程理论、FMEA、SPC、8D、项目管理、跨部门协作、缺陷预防管理、质量目标制定,2024-08-06 ,2024-08
视觉软件工程师,亿模塑胶科技(苏州)有限公司,苏州,吴中区,10000,20000,15000.0,5-10年,5,10,本科,计算机视觉,计算机视觉,主导视觉方案设计与软件开发调试优化,C#、Vision Pro、面向对象编程、设计模式、通信协议、PLC、LabVIEW、引导定位、尺寸量测、外观检测,2024-03-29 ,2024-03
产品经理,河南卓聘企业信息咨询有限公司,郑州,nan,15000,25000,20000.0,5-10年,5,,本科,深度学习,深度学习,智能客服产品设计与优化,需求分析、产品设计、Axure RP、数据分析、业务建模、产品迭代、沟通协调,2024-09-03 ,2024-09
大模型算法实习生,广东人工智能与先进计算研究院,北京,海淀区,3000,4000,3500.0,无经验要求,,,硕士,模式识别,模式识别,搭建大模型Agent系统并优化核心功能,Python、大语言模型、Agent、fastapi、模型训练、微调,2024-07-09 ,2024-07
数据分析师,中软芯科（广州）软件有限公司,北京,海淀区,10000,14000,12000.0,无经验要求,,,本科,数据挖掘,数据挖掘,数据分析与业务优化支持,数据分析、数据挖掘、数据库维护、数据整理、业务分析、数据监控,2024-03-28 ,2024-03
AI算法工程师,广州众志诚信息科技有限公司,西安,新城区,15000,25000,20000.0,5-10年,5,10,本科,机器学习、深度学习、计算机视觉、人工智能、人脸识别、深度神经网络,深度学习,负责计算机视觉算法研究与实现,深度学习、TensorFlow、Python、OpenCV、模型优化、计算机视觉、LINUX开发,2024-03-29 ,2024-03
智能设备运维工程师,深圳市丰宜科技有限公司,深圳,福田区,15000,25000,20000.0,5-10年,5,10,本科,智能零售,人工智能,负责智能零售设备运维及优化,智能设备运维、故障诊断、资源优化、技术架构优化、团队管理、运维策略制定,2024-03-29 ,2024-03
Java开发工程师,苏州中亿丰光电有限公司,苏州,昆山市,15000,20000,17500.0,5-10年,5,10,本科,云计算,云计算,负责物联网及云计算系统开发与优化,Web开发、MySQL优化、无线通信协议、MQTT/CoAP协议、Linux部署、高并发系统优化、JSON数据封装,2024-01-20 ,2024-01
资深Java开发工程师,浙江四港联动发展有限公司,杭州,西湖区,20000,30000,25000.0,5-10年,5,10,本科,人工智能,人工智能,负责系统架构设计与物流数据产品开发,Java、SpringBoot、MyBatis、MySQL、Redis,2024-03-25 ,2024-03
亚马逊运营经理(德语),深圳市金慧源企业管理咨询有限公司,深圳,南山区,20000,35000,27500.0,3-5年,3,,本科,数据挖掘,数据挖掘,负责亚马逊运营及数据分析，提升销售转化,数据分析、数据挖掘、库存管理、团队管理、市场分析、产品开发、销售策略,2024-11-16 ,2024-11
数据分析师,广发银行股份有限公司信用卡中心,广州,天河区,15000,30000,22500.0,1-3年,1,3,本科,大数据分析,大数据分析,负责销售数据分析及BI系统建设与优化,SQL、Python、数据分析、数据可视化、BI工具、统计分析、数据挖掘,2024-03-28 ,2024-03
高级云平台开发工程师,北京趣拿软件科技有限公司,北京,海淀区,30000,50000,40000.0,5-10年,5,10,本科,云计算,人工智能,负责云平台研发及新技术研究与优化,Golang、Python、Docker/Kubernetes/Openshift、Linux、ReactJS、SQL、PostgreSQL,2024-03-28 ,2024-03
AI算法工程师,广东保伦电子股份有限公司,广州,番禺区,15000,20000,17500.0,1-3年,1,3,本科,机器学习、深度学习,机器学习,负责AI算法研发及产品化工作,C/C++、Python、深度学习、TensorFlow、PyTorch、模型量化、分布式训练、技术文档撰写,2024-03-26 ,2024-03
人工智能医疗审核分析专家,泉行智数（郑州）科技有限公司,郑州,郑东新区,6000,7000,6500.0,1-3年,1,3,本科,人工智能,人工智能,医学资料审核与产品优化,医学术语处理、数据整理、产品评估、团队协作、问题分析、Office操作,2024-10-14 ,2024-10
云计算讲师,北京金信润天信息技术股份有限公司武汉分公司,武汉,洪山区,8333,12500,10416.5,1-3年,2,,大专,云计算,云计算,负责云计算课程授课及学生辅导工作,RHEL_7.4系统管理、Windows Server 2012 R2系统管理、KVM虚拟化技术、Xen虚拟化技术、OpenStack部署运维、私有云部署维护、Docker容器技术,2024-07-17 ,2024-07
测试工程师,埃夫特智能装备股份有限公司,芜湖,鸠江区,9000,13000,11000.0,3-5年,3,,本科,人工智能,人工智能,负责机器人测试方案设计与自动化工具开发,ROS/Linux系统、C++编程、人工智能算法、HIL/SIL测试,2024-07-11 ,2024-07
核医学重建高级算法工程师,中核粒子医疗科技有限公司,北京,通州区,20000,30000,25000.0,3-5年,3,5,硕士,深度学习,深度学习,核医学图像重建算法开发与优化,MATLAB、C++、Python、数值计算、信号处理、图像重建、深度学习、CUDA编程,2024-03-17 ,2024-03
业务员,江苏雅高纺织科技有限公司,南通,nan,5000,10000,7500.0,1-3年,1,,大专,深度学习,深度学习,负责市场调研、客户开发及业绩目标达成,市场调研、客户开发、业绩管理、客户运营、沟通能力、抗压能力,2024-07-12 ,2024-07
